Time,Fz,Mx,My,CoPx,CoPy
0.089000,875.831609,26.477086,1.638040,-0.001870,0.030231
0.090000,875.831609,26.477086,1.638040,-0.001870,0.030231
0.091000,875.642089,26.476306,1.637150,-0.001870,0.030236
0.092000,875.551299,26.496156,1.660580,-0.001897,0.030262
0.093000,875.549869,26.495676,1.615570,-0.001845,0.030262
0.094000,875.546869,26.456416,1.659510,-0.001895,0.030217
0.095000,875.546869,26.456416,1.659510,-0.001895,0.030217
0.096000,875.731959,26.417456,1.659330,-0.001895,0.030166
0.097000,875.545439,26.455936,1.614500,-0.001844,0.030217
0.098000,875.450869,26.435826,1.593520,-0.001820,0.030197
0.099000,875.450869,26.435826,1.593520,-0.001820,0.030197
0.100000,875.169129,26.454416,1.571050,-0.001795,0.030228
0.101000,875.073909,26.434526,1.593410,-0.001821,0.030208
0.102000,875.261999,26.434826,1.549290,-0.001770,0.030202
0.103000,875.164699,26.414676,1.569980,-0.001794,0.030183
0.104000,875.166779,26.414936,1.571650,-0.001796,0.030183
0.105000,875.257569,26.395086,1.548220,-0.001769,0.030157
0.106000,875.162999,26.374976,1.527240,-0.001745,0.030137
0.107000,875.070129,26.394566,1.549000,-0.001770,0.030163
0.108000,874.977259,26.414156,1.570760,-0.001795,0.030188
0.109000,874.878259,26.354306,1.548710,-0.001770,0.030123
0.110000,874.785389,26.373896,1.570470,-0.001795,0.030149
0.111000,874.879689,26.354786,1.593720,-0.001822,0.030124
0.112000,874.878259,26.354306,1.548710,-0.001770,0.030123
0.113000,875.063349,26.315346,1.548530,-0.001770,0.030073
0.114000,874.970479,26.334936,1.570290,-0.001795,0.030098
0.115000,874.686389,26.314046,1.548420,-0.001770,0.030084
0.116000,874.589739,26.293676,1.525770,-0.001745,0.030064
0.117000,874.589739,26.293676,1.525770,-0.001745,0.030064
0.118000,874.494519,26.273786,1.548130,-0.001770,0.030045
0.119000,874.493869,26.274006,1.591470,-0.001820,0.030045
0.120000,874.494519,26.273786,1.548130,-0.001770,0.030045
0.121000,874.494519,26.273786,1.548130,-0.001770,0.030045
0.122000,874.494519,26.273786,1.548130,-0.001770,0.030045
0.123000,874.587389,26.254196,1.526370,-0.001745,0.030019
0.124000,874.586739,26.254416,1.569710,-0.001795,0.030019
0.125000,874.209779,26.253116,1.569600,-0.001795,0.030031
0.126000,874.302649,26.233526,1.547840,-0.001770,0.030005
0.127000,874.209779,26.253116,1.569600,-0.001795,0.030031
0.128000,874.302649,26.233526,1.547840,-0.001770,0.030005
0.129000,874.302649,26.233526,1.547840,-0.001770,0.030005
0.130000,874.207429,26.213636,1.570200,-0.001796,0.029986
0.131000,874.110779,26.193266,1.547550,-0.001770,0.029966
0.132000,874.018559,26.212636,1.525970,-0.001746,0.029991
0.133000,873.923339,26.192746,1.548330,-0.001772,0.029971
0.134000,873.923339,26.192746,1.548330,-0.001772,0.029971
0.135000,873.826689,26.172376,1.525680,-0.001746,0.029951
0.136000,873.923339,26.192746,1.548330,-0.001772,0.029971
0.137000,873.918909,26.153006,1.547260,-0.001770,0.029926
0.138000,873.916559,26.113526,1.547860,-0.001771,0.029881
0.139000,874.011779,26.133416,1.525500,-0.001745,0.029901
0.140000,873.919559,26.152786,1.503920,-0.001721,0.029926
0.141000,873.730039,26.152006,1.503030,-0.001720,0.029931
0.142000,873.542599,26.151486,1.503810,-0.001722,0.029937
0.143000,873.542599,26.151486,1.503810,-0.001722,0.029937
0.144000,873.539599,26.112226,1.547750,-0.001772,0.029892
0.145000,873.541029,26.112706,1.592760,-0.001823,0.029893
0.146000,873.444379,26.092336,1.570110,-0.001798,0.029873
0.147000,873.444379,26.092336,1.570110,-0.001798,0.029873
0.148000,873.255509,26.091336,1.525880,-0.001747,0.029878
0.149000,873.067419,26.091036,1.570000,-0.001798,0.029884
0.150000,873.067419,26.091036,1.570000,-0.001798,0.029884
0.151000,872.970769,26.070666,1.547350,-0.001773,0.029864
0.152000,872.874119,26.050296,1.524700,-0.001747,0.029844
0.153000,872.971419,26.070446,1.504010,-0.001723,0.029864
0.154000,872.971419,26.070446,1.504010,-0.001723,0.029864
0.155000,872.686679,26.049776,1.525480,-0.001748,0.029850
0.156000,872.593809,26.069366,1.547240,-0.001773,0.029876
0.157000,872.501589,26.088736,1.525660,-0.001749,0.029901
0.158000,872.404939,26.068366,1.503010,-0.001723,0.029881
0.159000,872.309719,26.048476,1.525370,-0.001749,0.029861
0.160000,872.312069,26.087956,1.524770,-0.001748,0.029907
0.161000,872.216849,26.068066,1.547130,-0.001774,0.029887
0.162000,872.316499,26.127696,1.525840,-0.001749,0.029952
0.163000,872.217499,26.067846,1.503790,-0.001724,0.029887
0.164000,872.312719,26.087736,1.481430,-0.001698,0.029906
0.165000,872.219849,26.107326,1.503190,-0.001723,0.029932
0.166000,872.127629,26.126696,1.481610,-0.001699,0.029957
0.167000,871.935759,26.086436,1.481320,-0.001699,0.029918
0.168000,871.842889,26.106026,1.503080,-0.001724,0.029943
0.169000,871.842889,26.106026,1.503080,-0.001724,0.029943
0.170000,872.130629,26.165956,1.437670,-0.001648,0.030002
0.171000,872.127629,26.126696,1.481610,-0.001699,0.029957
0.172000,871.845889,26.145286,1.459140,-0.001674,0.029988
0.173000,872.037759,26.185546,1.459430,-0.001674,0.030028
0.174000,871.941109,26.165176,1.436780,-0.001648,0.030008
0.175000,871.753669,26.164656,1.437560,-0.001649,0.030014
0.176000,871.753669,26.164656,1.437560,-0.001649,0.030014
0.177000,871.753669,26.164656,1.437560,-0.001649,0.030014
0.178000,871.848889,26.184546,1.415200,-0.001623,0.030033
0.179000,871.851239,26.224026,1.414600,-0.001623,0.030079
0.180000,871.945539,26.204916,1.437850,-0.001649,0.030053
0.181000,872.040759,26.224806,1.415490,-0.001623,0.030073
0.182000,871.948539,26.244176,1.393910,-0.001599,0.030098
0.183000,871.763449,26.283136,1.394090,-0.001599,0.030149
0.184000,871.666799,26.262766,1.371440,-0.001573,0.030129
0.185000,871.762019,26.282656,1.349080,-0.001548,0.030149
0.186000,871.858669,26.303026,1.371730,-0.001573,0.030169
0.187000,871.858669,26.303026,1.371730,-0.001573,0.030169
0.188000,872.046109,26.303546,1.370950,-0.001572,0.030163
0.189000,871.956889,26.362176,1.305430,-0.001497,0.030233
0.190000,871.864019,26.381766,1.327190,-0.001522,0.030259
0.191000,871.959239,26.401656,1.304830,-0.001496,0.030279
0.192000,871.867019,26.421026,1.283250,-0.001472,0.030304
0.193000,872.055889,26.422026,1.327480,-0.001522,0.030299
0.194000,871.867019,26.421026,1.283250,-0.001472,0.030304
0.195000,871.962239,26.440916,1.260890,-0.001446,0.030323
0.196000,872.058889,26.461286,1.283540,-0.001472,0.030343
0.197000,872.154109,26.481176,1.261180,-0.001446,0.030363
0.198000,872.154109,26.481176,1.261180,-0.001446,0.030363
0.199000,872.061889,26.500546,1.239600,-0.001421,0.030388
0.200000,872.061889,26.500546,1.239600,-0.001421,0.030388
0.201000,872.061889,26.500546,1.239600,-0.001421,0.030388
0.202000,872.061889,26.500546,1.239600,-0.001421,0.030388
0.203000,872.253759,26.540806,1.239890,-0.001421,0.030428
0.204000,872.068669,26.579766,1.240070,-0.001422,0.030479
0.205000,872.353409,26.600436,1.218600,-0.001397,0.030493
0.206000,872.256759,26.580066,1.195950,-0.001371,0.030473
0.207000,872.353409,26.600436,1.218600,-0.001397,0.030493
0.208000,872.353409,26.600436,1.218600,-0.001397,0.030493
0.209000,872.259759,26.619326,1.152010,-0.001321,0.030518
0.210000,872.356409,26.639696,1.174660,-0.001347,0.030538
0.211000,872.356409,26.639696,1.174660,-0.001347,0.030538
0.212000,872.451629,26.659586,1.152300,-0.001321,0.030557
0.213000,872.639719,26.659886,1.108180,-0.001270,0.030551
0.214000,872.454629,26.698846,1.108360,-0.001270,0.030602
0.215000,872.454629,26.698846,1.108360,-0.001270,0.030602
0.216000,872.457629,26.738106,1.064420,-0.001220,0.030647
0.217000,872.269539,26.737806,1.108540,-0.001271,0.030653
0.218000,872.269539,26.737806,1.108540,-0.001271,0.030653
0.219000,872.554279,26.758476,1.087070,-0.001246,0.030667
0.220000,872.646499,26.739106,1.108650,-0.001270,0.030641
0.221000,872.646499,26.739106,1.108650,-0.001270,0.030641
0.222000,872.741719,26.758996,1.086290,-0.001245,0.030661
0.223000,872.741719,26.758996,1.086290,-0.001245,0.030661
0.224000,872.651849,26.817846,1.064110,-0.001219,0.030731
0.225000,872.555199,26.797476,1.041460,-0.001194,0.030711
0.226000,872.555199,26.797476,1.041460,-0.001194,0.030711
0.227000,872.840589,26.817926,0.976650,-0.001119,0.030725
0.228000,872.935809,26.837816,0.954290,-0.001093,0.030744
0.229000,872.935809,26.837816,0.954290,-0.001093,0.030744
0.230000,873.123249,26.838336,0.953510,-0.001092,0.030738
0.231000,873.219899,26.858706,0.976160,-0.001118,0.030758
0.232000,873.316549,26.879076,0.998810,-0.001144,0.030778
0.233000,873.412419,26.898746,0.933110,-0.001068,0.030797
0.234000,873.507639,26.918636,0.910750,-0.001043,0.030817
0.235000,873.414769,26.938226,0.932510,-0.001068,0.030842
0.236000,873.602209,26.938746,0.931730,-0.001067,0.030836
0.237000,873.791729,26.939526,0.932620,-0.001067,0.030831
0.238000,873.794729,26.978786,0.888680,-0.001017,0.030875
0.239000,873.886949,26.959416,0.910260,-0.001042,0.030850
0.240000,873.889949,26.998676,0.866320,-0.000991,0.030895
0.241000,873.797729,27.018046,0.844740,-0.000967,0.030920
0.242000,873.986599,27.019046,0.888970,-0.001017,0.030915
0.243000,873.982819,26.979086,0.844560,-0.000966,0.030869
0.244000,874.079469,26.999456,0.867210,-0.000992,0.030889
0.245000,874.174689,27.019346,0.844850,-0.000966,0.030908
0.246000,874.456429,27.000756,0.867320,-0.000992,0.030877
0.247000,874.551649,27.020646,0.844960,-0.000966,0.030897
0.248000,874.646869,27.040536,0.822600,-0.000940,0.030916
0.249000,874.644519,27.001056,0.823200,-0.000941,0.030871
0.250000,874.459429,27.040016,0.823380,-0.000942,0.030922
0.251000,874.646869,27.040536,0.822600,-0.000940,0.030916
0.252000,874.834959,27.040836,0.778480,-0.000890,0.030910
0.253000,875.026829,27.081096,0.778770,-0.000890,0.030949
0.254000,875.119699,27.061506,0.757010,-0.000865,0.030923
0.255000,875.026829,27.081096,0.778770,-0.000890,0.030949
0.256000,875.214919,27.081396,0.734650,-0.000839,0.030943
0.257000,875.122699,27.100766,0.713070,-0.000815,0.030968
0.258000,875.122699,27.100766,0.713070,-0.000815,0.030968
0.259000,875.213489,27.080916,0.689640,-0.000788,0.030942
0.260000,875.217919,27.120656,0.690710,-0.000789,0.030987
0.261000,875.310139,27.101286,0.712290,-0.000814,0.030962
0.262000,875.498229,27.101586,0.668170,-0.000763,0.030956
0.263000,875.498879,27.101366,0.624830,-0.000714,0.030955
0.264000,875.501229,27.140846,0.624230,-0.000713,0.031000
0.265000,875.406009,27.120956,0.646590,-0.000739,0.030981
0.266000,875.217139,27.119956,0.602360,-0.000688,0.030987
0.267000,875.312359,27.139846,0.580000,-0.000663,0.031006
0.268000,875.312359,27.139846,0.580000,-0.000663,0.031006
0.269000,875.405229,27.120256,0.558240,-0.000638,0.030980
0.270000,875.501879,27.140626,0.580890,-0.000663,0.031000
0.271000,875.408229,27.159516,0.514300,-0.000587,0.031025
0.272000,875.600099,27.199776,0.514590,-0.000588,0.031064
0.273000,875.408229,27.159516,0.514300,-0.000587,0.031025
0.274000,875.408229,27.159516,0.514300,-0.000587,0.031025
0.275000,875.219359,27.158516,0.470070,-0.000537,0.031031
0.276000,875.219359,27.158516,0.470070,-0.000537,0.031031
0.277000,875.314579,27.178406,0.447710,-0.000511,0.031050
0.278000,875.127139,27.177886,0.448490,-0.000512,0.031056
0.279000,875.314579,27.178406,0.447710,-0.000511,0.031050
